#t dx dy dz
0.513 -2.8793 -3.0819 1.3806
0.514 -3.0211 -3.2393 1.3093
0.515 -2.9060 -3.5880 1.1184
0.516 -3.0623 -3.3683 1.1528
0.517 -2.7999 -3.3925 1.4089
0.518 -2.8774 -3.4203 1.2604
0.519 -2.6569 -3.5442 1.2949
0.52 -3.0608 -3.5797 1.3662
0.521 -2.8208 -3.5193 1.3666
0.522 -2.7971 -3.3992 1.2616
0.523 -2.1753 -3.4448 1.3632
0.524 -2.1643 -3.5829 1.5076
0.525 -2.2866 -3.8388 1.8647
0.526 -2.2585 -4.0214 1.8297
0.527 -2.2129 -3.7714 1.6458
0.528 -1.9803 -3.6747 1.6900
0.529 -2.2063 -3.9912 1.7045
0.53 -2.1261 -3.9276 1.5938
0.531 -2.3750 -3.6559 1.9701
0.532 -2.1700 -3.4802 1.8531
0.533 -2.4190 -3.5951 1.8318
0.534 -2.6981 -3.5060 1.8411
0.535 -2.6064 -3.6370 1.9631
0.536 -2.4711 -3.8188 2.0159
0.537 -2.7162 -3.8903 1.7274
0.538 -2.4934 -3.6403 1.6959
0.539 -2.0722 -3.8992 1.4128
0.54 -2.0971 -4.1401 1.5255
0.541 -1.9228 -3.8998 1.2575
0.542 -1.6329 -3.9207 0.6690
0.543 -1.4883 -4.3772 0.6515
0.544 -1.2895 -4.0447 0.6451
0.545 -1.4578 -4.1576 0.9046
0.546 -1.3130 -4.1701 0.7583
0.547 -1.0949 -4.1130 0.6811
0.548 -1.0413 -3.7991 0.4972
0.549 -0.8756 -3.8554 0.4931
0.55 -0.9960 -3.8482 0.1498
0.551 -0.5409 -4.1927 -0.0461
0.552 -0.5342 -3.9156 0.4554
0.553 -0.4296 -3.9389 0.3679
0.554 -0.2716 -4.1558 0.4780
0.555 -0.2161 -3.9920 0.4578
0.556 0.1328 -3.9291 0.5695
0.557 0.4758 -3.5464 0.4203
0.558 0.6829 -3.7928 0.2519
0.559 0.6734 -3.6396 0.0683
0.56 0.4417 -3.5226 -0.1595
0.561 0.3586 -3.5169 0.1880
0.562 0.0451 -3.9112 0.3016
0.563 -0.0219 -3.8355 0.3238
0.564 0.1978 -3.7953 0.1932
0.565 0.1706 -3.9019 0.5216
0.566 0.0594 -3.5732 0.3300
0.567 0.1657 -3.4637 0.3703
0.568 0.0522 -3.0964 0.5836
0.569 0.0300 -2.9414 0.1718
0.57 0.3060 -3.0051 0.2345
0.571 0.2204 -3.0957 0.2111
0.572 0.2012 -3.1626 0.1298
0.573 0.1828 -3.4983 -0.1608
0.574 0.1738 -3.4829 -0.0948
0.575 0.1503 -3.6685 0.1025
0.576 0.2990 -3.4317 -0.1408
0.577 0.1754 -3.6421 -0.7743
0.578 0.1587 -3.3258 -0.7838
0.579 -0.0636 -3.3117 -1.0338
0.58 -0.0604 -3.4872 -1.0273
0.581 0.2099 -3.3635 -1.1580
0.582 0.2702 -3.3553 -1.6507
0.583 -0.2529 -3.7350 -1.7758
0.584 -0.0819 -3.7937 -1.9085
0.585 -0.1887 -3.7513 -2.3518
0.586 -0.3557 -3.6882 -1.9833
0.587 -0.1719 -3.8725 -1.6810
0.588 0.0354 -3.7579 -1.8172
0.589 0.2117 -4.0402 -1.9926
0.59 0.0485 -4.0708 -1.7935
0.591 -0.0527 -4.4151 -2.0284
0.592 0.2462 -4.1418 -2.2445
0.593 0.3368 -3.9006 -2.3499
0.594 0.3742 -3.6334 -2.2409
0.595 0.5844 -3.2853 -2.3125
0.596 0.6277 -3.4415 -2.8309
0.597 0.9046 -3.3583 -2.8226
0.598 0.8752 -3.3814 -2.7153
0.599 0.4701 -3.3309 -2.6922
0.6 0.4232 -3.4274 -2.6915
0.601 0.7002 -3.6692 -2.3021
0.602 0.5605 -3.4194 -2.3238
0.603 0.7783 -3.2400 -2.4065
0.604 1.0269 -3.5438 -2.4468
0.605 1.2479 -3.2297 -2.1926
0.606 1.2375 -3.2858 -2.4235
0.607 1.4127 -3.5566 -2.5716
0.608 1.3676 -3.6894 -2.7593
0.609 1.0974 -3.3750 -2.8947
0.61 1.2791 -3.0012 -2.6453
0.611 1.3107 -2.8870 -2.2295
0.612 1.0829 -2.9159 -2.4651
0.613 0.6896 -2.7818 -2.4580
0.614 0.3808 -2.4199 -2.4579
0.615 0.4432 -2.3125 -2.6464
0.616 0.4436 -2.4126 -2.7867
0.617 0.5828 -2.4495 -2.8136
0.618 0.7738 -2.3925 -2.7547
0.619 0.4400 -2.1870 -3.0287
0.62 0.5076 -2.0101 -3.0838
0.621 0.1830 -2.2266 -3.1653
0.622 0.2524 -2.5530 -2.9219
0.623 0.1607 -2.3801 -3.0602
0.624 -0.0871 -2.4243 -3.0435
0.625 -0.0337 -2.4373 -3.0314
0.626 -0.0897 -2.3859 -2.9673
0.627 -0.2688 -2.1661 -2.9301
0.628 -0.2458 -1.9571 -2.9781
0.629 -0.3483 -1.7123 -3.0501
0.63 -0.5991 -1.7011 -3.2198
0.631 -0.2737 -1.7088 -3.5147
0.632 -0.5099 -1.8501 -3.3938
0.633 -0.2501 -1.7809 -3.3365
0.634 -0.3257 -1.6158 -3.0317
0.635 -0.4638 -1.6767 -2.6933
0.636 -0.5954 -1.9229 -2.6303
0.637 -0.5609 -1.8325 -2.4894
0.638 -0.6393 -1.2546 -2.4674
0.639 -0.4774 -1.2898 -2.5295
0.64 -0.5550 -1.2624 -2.6049
0.641 -0.3947 -1.4454 -2.6000
0.642 -0.3293 -1.3245 -2.9322
0.643 -0.2051 -1.2552 -2.8042
0.644 -0.1477 -1.2633 -2.8280
0.645 -0.4718 -1.1351 -2.7434
0.646 -0.5816 -1.1575 -2.7961
0.647 -0.6669 -1.0095 -3.0261
0.648 -0.7791 -0.9296 -3.3504
0.649 -0.7127 -1.0549 -3.4180
0.65 -0.8296 -1.1935 -3.2673
0.651 -0.7886 -1.4092 -3.2998
